date,league,home_team,away_team,home_scored_last5,away_scored_last5,league_btts_rate,league_over25_rate
2026-01-31,EPL,Kitchee,Southern District,0,0,54,57
2026-01-31,EPL,Eastern District,BC Rangers,0,0,54,57
2026-01-31,EPL,Dire Dawa Kenema,Hadiya Hosaena,0,0,54,57
2026-01-31,EPL,Wathba,Tishreen,0,0,54,57
2026-01-31,EPL,Tampines Rovers,Tanjong Pagar,0,0,54,57
2026-01-31,EPL,Welayta Dicha,Adama Kenema,0,0,54,57
2026-01-31,EPL,Tadamon Sour,Shabab Al Sahel,0,0,54,57
2026-01-31,LaLiga,Oviedo,Girona,0,0,52,55
2026-01-31,EPL,Maroons,Mbarara City,0,0,54,57
2026-01-31,EPL,URA,Police,0,0,54,57
2026-01-31,EPL,NEC,Express,0,0,54,57
2026-01-31,EPL,Calvary,Kitara,0,0,54,57
2026-01-31,EPL,Sidama Bunna,Bahardar,0,0,54,57
2026-01-31,EPL,Mekelakeya,Sheger Ketema,0,0,54,57
2026-01-31,Ligue 1,Simba,Saint Eloi Lupopo,0,0,51,53
2026-01-31,Ligue 1,Dauphins Noirs,Etoile de Kivu,0,0,51,53
2026-01-31,EPL,Tarxien Rainbows,Gzira United,0,0,54,57
2026-01-31,Ligue 1,US Ben Guerdane,ES Zarzis,0,0,51,53
2026-01-31,Ligue 1,Club Africain,CA Bizertin,0,0,51,53
2026-01-31,Ligue 1,JS Kairouanaise,Olympique Béja,0,0,51,53
2026-01-31,Ligue 1,AS Soliman,ES Tunis,0,0,51,53
2026-01-31,Serie A,Pisa,Sassuolo,0,0,58,61
2026-01-31,EPL,Matebele,BDF XI,0,0,54,57
2026-01-31,EPL,Nico United,Gaborone United,0,0,54,57
2026-01-31,EPL,Santa Green,Extension Gunners,0,0,54,57
2026-01-31,EPL,Sua Flamingoes,Orapa United,0,0,54,57
2026-01-31,EPL,Police XI,TAFIC,0,0,54,57
2026-01-31,Ligue 1,Vita Club,JSK,0,0,51,53
2026-01-31,EPL,Safa,Al Nejmeh,0,0,54,57
2026-01-31,EPL,LDF,Members,0,0,54,57
2026-01-31,EPL,LCS,Machokha,0,0,54,57
2026-01-31,EPL,Lifofane,Manonyane,0,0,54,57
2026-01-31,EPL,LMPS,Majantja,0,0,54,57
2026-01-31,Bundesliga,FC Augsburg,FC St. Pauli,0,0,60,64
2026-01-31,Bundesliga,Eintracht Frankfurt,Bayer Leverkusen,0,0,60,64
2026-01-31,Bundesliga,1899 Hoffenheim,Union Berlin,0,0,60,64
2026-01-31,Bundesliga,RB Leipzig,FSV Mainz 05,0,0,60,64
2026-01-31,Bundesliga,Werder Bremen,Borussia Mönchengladbach,0,0,60,64
2026-01-31,EPL,Brighton,Everton,0,0,54,57
2026-01-31,EPL,Leeds,Arsenal,0,0,54,57
2026-01-31,EPL,Wolves,Bournemouth,0,0,54,57
2026-01-31,EPL,Vision,Dreams,0,0,54,57
2026-01-31,LaLiga,Osasuna,Villarreal,0,0,52,55
2026-01-31,EPL,Heart of Lions,Asante Kotoko,0,0,54,57
2026-01-31,Ligue 1,RCK,RC Bobo-Dioulasso,0,0,51,53
2026-01-31,Ligue 1,CFFEB,ASFA-Yennenga,0,0,51,53
2026-01-31,Ligue 1,Sporting Cascades,Réal du Faso,0,0,51,53
2026-01-31,Ligue 1,Majestic,Vitesse,0,0,51,53
2026-01-31,Ligue 1,AJEB,SONABEL,0,0,51,53
2026-01-31,EPL,Birkirkara,Marsaxlokk,0,0,54,57
2026-01-31,EPL,Hamrun Spartans,Sliema Wanderers,0,0,54,57
2026-01-31,Ligue 1,Stade d'Abidjan,Korhogo,0,0,51,53
2026-01-31,Ligue 1,Zoman,AFAD,0,0,51,53
2026-01-31,Ligue 1,Racing d'Abidjan,SOA,0,0,51,53
2026-01-31,Ligue 1,Paris FC,Marseille,0,0,51,53
2026-01-31,EPL,Nouadhibou,SNIM,0,0,54,57
2026-01-31,Ligue 1,AJEL,Gorée,0,0,51,53
2026-01-31,Serie A,Napoli,Fiorentina,0,0,58,61
2026-01-31,EPL,Township Rollers,Morupule Wanderers,0,0,54,57
2026-01-31,EPL,Galaxy,Black Lions,0,0,54,57
2026-01-31,EPL,SC Villa,Lugazi,0,0,54,57
2026-01-31,EPL,Chelsea,West Ham,0,0,54,57
2026-01-31,Bundesliga,Hamburger SV,Bayern München,0,0,60,64
2026-01-31,LaLiga,Levante,Atletico Madrid,0,0,52,55
2026-01-31,Ligue 1,Lorient,Nantes,0,0,51,53
2026-01-31,EPL,Hibernians,Mosta,0,0,54,57
2026-01-31,Ligue 1,Stella,ISCA,0,0,51,53
2026-01-31,Serie A,Cagliari,Verona,0,0,58,61
2026-01-31,EPL,Liverpool,Newcastle,0,0,54,57
2026-01-31,LaLiga,Elche,Barcelona,0,0,52,55
2026-01-31,Ligue 1,Monaco,Rennes,0,0,51,53
